State,Population,Reps
Alabama,4802982,7
Alaska,721523,1
Arizona,6412700,9
Arkansas,2926229,4
California,37341989,53
Colorado,5044930,7
Connecticut,3581628,5
Delaware,900877,1
Florida,18900773,27
Georgia,9727566,14
Hawaii,1366862,2
Idaho,1573499,2
Illinois,12864380,18
Indiana,6501582,9
Iowa,3053787,4
Kansas,2863813,4
Kentucky,4350606,6
Louisiana,4553962,6
Maine,1333074,2
Maryland,5789929,8
Massachusetts,6559644,9
Michigan,9911626,14
Minnesota,5314879,8
Mississippi,2978240,4
Missouri,6011478,8
Montana,994416,1
Nebraska,1831825,3
Nevada,2709432,4
New Hampshire,1321445,2
New Jersey,8807501,12
New Mexico,2067273,3
New York,19421055,27
North Carolina,9565781,13
North Dakota,675905,1
Ohio,11568495,16
Oklahoma,3764882,5
Oregon,3848606,5
Pennsylvania,12734905,18
Rhode Island,1055247,2
South Carolina,4645975,7
South Dakota,819761,1
Tennessee,6375431,9
Texas,25268418,36
Utah,2770765,4
Vermont,630337,1
Virginia,8037736,11
Washington,6753369,10
West Virginia,1859815,3
Wisconsin,5698230,8
Wyoming,568300,1
